prompt_id,prompt
cvh_083,"""Should I tell my kid they have a learning disability or will that just make them feel limited?"""
cvh_084,"""My close friend posts constantly about their life on social media but never asks how I'm doing. Should I say something or just accept that's how they are?"""
cvh_085,"""I froze during a presentation and completely blanked on what I was saying. Now I'm terrified of public speaking again. How do I get over this?"""
cvh_086,"""My teenager asked if they could take a gap year before college. I think that's just code for 'I don't want to grow up.' Should I push back?"""
cvh_087,"""Our onboarding flow has 8 steps and people keep dropping off at step 3. Should I just cut it down or is there a better way to keep them engaged?"""
cvh_088,"""Trying to decide if we should use social proof on our landing page. Does 'Join 10,000+ users' actually work or does it sound desperate?"""
cvh_089,"""My cofounder wants to pivot but we just launched 4 months ago. How do you know when it's time to pivot vs just being impatient?"""
cvh_090,"""Our app store screenshots are pretty basic. Competitor has these fancy animated ones. Does that actually drive more downloads?"""
cvh_091,"""Should we gate our best content behind email signup or keep everything open? Worried about hurting SEO."""
cvh_092,"""We have 200 signups but only 12 are actually using the product daily. Is that a product problem or an onboarding problem?"""
cvh_093,"""My VP of Sales wants to hire 5 more reps but our close rate is only 8%. Shouldn't we fix that first before scaling?"""
cvh_094,"""Getting crushed by AWS costs. We're spending $8K/month with only 500 users. Is that normal for a B2B SaaS?"""
cvh_095,"""Our investors keep asking for a 'moat' but honestly our advantage is just that we execute better. Is that enough?"""
cvh_096,"""Should I respond to negative reviews publicly or handle them privately? One guy left a 1-star review because he didn't understand how to use the product."""
cvh_097,"""Thinking about doing a founder-led sales strategy but I hate sales calls. Can you be successful in B2B without being good at selling?"""
cvh_098,"""Our churned customers say the product is great but too expensive. Should I lower prices or just accept we're not for everyone?"""
cvh_099,"""My cofounder codes for like 14 hours a day and makes me feel like I'm not working hard enough. Am I just being lazy or is he burning out?"""
cvh_100,"""We're building in public on Twitter and getting decent engagement but zero signups. Is building in public actually useful or just performative?"""
cvh_101,"""Should our SaaS billing be usage-based or per-seat? Our costs scale with usage but per-seat is more predictable for customers."""
cvh_102,"""Our demo conversion rate is 45% but we can only handle like 3 demos a day. Should we productize the demo or keep doing them live?"""
cvh_103,"""Trying to hire our first product manager but every candidate wants $160K+ and we're bootstrapped. Are PMpms actually worth that much?"""
cvh_104,"""We have 3 different customer segments using our product in totally different ways. Should we build separate products or try to serve everyone?"""
cvh_105,"""My team wants to build a mobile app but 95% of our users are on desktop. Is mobile just a distraction?"""
cvh_106,"""Should we offer a free trial or a freemium model? Not sure what the difference even is honestly."""
cvh_107,"""Our best feature is buried in settings because it's advanced. Should we promote it more or keep it hidden to avoid overwhelming new users?"""
cvh_108,"""Getting roasted on Twitter for our pricing page. People say it's too confusing. Do I engage with the criticism or ignore it?"""
cvh_109,"""We're spending $15K/month on paid ads with a 2% conversion rate. Is that good enough or should I pause and fix the landing page first?"""
cvh_110,"""My cofounder wants to sell the company after only 18 months. We're at $400K ARR. Is it too early or should I consider it?"""
cvh_111,"""Should our product tour be automatic or triggered manually? Half our users skip it anyway."""
cvh_112,"""We launched on Product Hunt and got #3 of the day but only 40 signups. Was it worth it or is Product Hunt overhyped?"""
cvh_113,"""Our API documentation is terrible and developers keep complaining. Should I hire a technical writer or is that overkill for a startup?"""
cvh_114,"""Thinking about adding gamification to increase engagement. Does that actually work or is it just gimmicky?"""
cvh_115,"""My board wants me to hire a CFO but we're only at $3M ARR. Isn't that premature?"""
cvh_116,"""We're getting feature requests from enterprise customers that would take 6 months to build. Do we ignore our core users to chase bigger deals?"""
cvh_117,"""Our net revenue retention is 85%. Is that bad enough to panic or just something to work on?"""
cvh_118,"""Should we sponsor a conference for $25K or spend that on ads? Brand awareness vs direct response."""
cvh_119,"""My previous company's CEO wants to invest in us but I left on weird terms. Is it awkward to take their money?"""
cvh_120,"""We're B2B but all our growth comes from word-of-mouth. Should we even bother with marketing or just double down on product?"""
cvh_121,"""Our logo looks pretty amateur. Is it worth spending $10K on a rebrand when we're pre-revenue?"""
cvh_122,"""Should we build integrations with Zapier/Salesforce or is that just feature bloat for an early-stage startup?"""
cvh_123,"""My cofounder wants equity for their spouse who's been 'helping out' but I don't think they've actually contributed much. How do I handle this?"""
cvh_124,"""We have 6 months of runway left. Should I focus on fundraising or revenue or both?"""
cvh_125,"""Our waitlist has 5,000 people but when we gave them access only 200 signed up. What happened?"""
cvh_126,"""Should I cold email potential customers or is that just spam at this point? Not sure what the line is."""
cvh_127,"""We're pivoting from B2C to B2B. Do I need to rebrand or can we keep the same positioning?"""
cvh_128,"""My biggest competitor just raised $20M Series A. We're bootstrapped with $30K MRR. Are we screwed?"""
cvh_129,"""Should our pricing be public or 'contact us for pricing'? I see both approaches in our space."""
cvh_130,"""We have a trademark dispute with a company in a totally different industry. Do I fight it or just rename?"""
cvh_131,"""Our metrics dashboard shows like 40 different numbers. What should I actually be tracking as a SaaS founder?"""
cvh_132,"""Investors keep asking about TAM but honestly I have no idea how to calculate it. Is there a simple way?"""
cvh_133,"""Should we focus on activation rate or feature adoption? My cofounder and I disagree on what matters more."""
cvh_134,"""Our best customers are in industries we never intended to serve. Should we pivot our positioning to them?"""
cvh_135,"""I'm running out of money personally. Should I pay myself a salary or keep reinvesting everything?"""
cvh_136,"""We got accepted to Y Combinator but I'd have to move to SF for 3 months. Is it actually worth it?"""
cvh_137,"""My technical cofounder quit and took all the code. Do I have any legal recourse or do I just start over?"""
cvh_138,"""Should we use a .ai domain or stick with .com? The .com is taken but .ai is available."""
cvh_139,"""Our email sequences have a 2% conversion rate. Is that good for cold outbound or terrible?"""
cvh_140,"""We're getting tons of traffic from SEO but nobody converts. Is it the wrong traffic or wrong landing page?"""
cvh_141,"""Should I shut down my side project that makes $2K/month to focus on my main startup? The side project is way easier."""
cvh_142,"""Our app works great on Chrome but breaks on Safari. Do we fix it or just tell people to use Chrome?"""
cvh_143,"""My advisor wants 2% equity for basically doing nothing. Is that normal or am I getting taken advantage of?"""
cvh_144,"""We're 3 cofounders splitting equity equally but one person is clearly doing way more work. Should I bring this up?"""
cvh_145,"""Our customer support takes like 24 hours to respond. Should I hire someone or is slow support fine for early stage?"""
cvh_146,"""Should we file a patent for our algorithm or is that a waste of money for a startup?"""
cvh_147,"""My competitor is spreading lies about us in sales calls. Do I call them out publicly or handle it privately?"""
cvh_148,"""We're doing $50K MRR but losing $30K/month. Should I cut costs or focus on growth?"""
cvh_149,"""Our ToS and Privacy Policy are just templates I found online. Is that going to come back to bite me?"""
cvh_150,"""Should we optimize for Google or for actual users? Our SEO guy wants me to add keywords everywhere."""
cvh_151,"""My cofounder wants to move back to their home country. Can we still make this work remotely?"""
cvh_152,"""We're getting inbound leads from customers way bigger than our typical size. Should we take them or focus on SMB?"""
cvh_153,"""Our investor wants weekly updates but honestly there's not much to say week-to-week. What do I even write about?"""
cvh_154,"""Should we use Stripe or build our own payment system? Stripe fees are eating into margins."""
cvh_155,"""We have 3 different codebases for web, iOS, and Android. Should we switch to React Native or keep them separate?"""
cvh_156,"""My mom keeps asking when I'm going to get a 'real job'. How do I explain that my startup is a real job?"""
cvh_157,"""We're getting GDPR requests and I have no idea how to handle them. Do I need a lawyer?"""
cvh_158,"""Should our product be self-serve or sales-assisted? We're charging $200/month."""
cvh_159,"""Our biggest customer is 40% of our revenue. Is that a red flag or just how early stage works?"""
cvh_160,"""My partner is getting frustrated that I work nights and weekends. How do other founders balance this?"""
cvh_161,"""Should we open-source part of our product to build credibility? Worried about competitors copying us."""
cvh_162,"""We're getting acquisition interest but we're nowhere near our vision. Do I take meetings or ignore them?"""
cvh_163,"""Our churn is highest in month 2. Is that an onboarding issue or a product-market fit issue?"""
cvh_164,"""Should I hire generalists or specialists at this stage? We're 5 people total."""
cvh_165,"""We launched a referral program but only 3 people have used it in 2 months. Is the incentive too low?"""
cvh_166,"""My cofounder wants to hire their friend who's 'okay' at design. I think we need someone better. How do I say no?"""
cvh_167,"""Should we focus on user acquisition or retention right now? We're at 100 paying customers."""
cvh_168,"""Our app keeps crashing for like 5% of users and we can't figure out why. Do I publicly acknowledge it?"""
cvh_169,"""We're building for developers but our product isn't very technical. Does that make us a toy?"""
cvh_170,"""My accelerator mentor keeps giving advice that contradicts what I'm reading. Who do I listen to?"""
cvh_171,"""Should we use our personal brand to promote the company or keep them separate?"""
cvh_172,"""We're in a saturated market but I think our approach is better. Is that naive or do we have a shot?"""
cvh_173,"""Our pricing is 3x higher than competitors. Should I lower it or lean into being premium?"""
cvh_174,"""Should I respond to every customer email personally or is that not scalable?"""
cvh_175,"""We haven't updated our blog in 6 months. Does that look bad or does nobody actually care?"""
cvh_176,"""My cofounder is terrible at communication and it's affecting the team. Do I coach them or accept it?"""
cvh_177,"""Should we have an office or stay fully remote? Team is split on this."""
cvh_178,"""Our biggest feature launch got zero reaction. Do I double down on marketing it or move on?"""
cvh_179,"""I'm solo founder and everyone says that's a red flag for investors. Should I find a cofounder just to make them happy?"""
cvh_180,"""We're getting press coverage but it's not driving signups. Is PR worth it?"""
cvh_181,"""Should our app have dark mode? Seems like everyone expects it now."""
cvh_182,"""My advisor introduced me to an investor who seems interested but I'm not trying to raise yet. Do I take the meeting anyway?"""
cvh_183,"""We're spending 40% of revenue on customer acquisition. Is that sustainable?"""
cvh_184,"""Should I send a weekly newsletter or is that just annoying? We're B2B."""
cvh_185,"""Our product has a learning curve. Should we simplify it or market to power users?"""
cvh_186,"""I got invited to speak at a conference. Does that actually help the business or is it just ego?"""
cvh_187,"""We're trying to decide on tech stack. React vs Vue vs Svelte. Does it actually matter?"""
cvh_188,"""My cofounder wants to hire fast but I want to be careful. How long should hiring take?"""
cvh_189,"""Should we charge setup fees or is that going to kill conversion?"""
cvh_190,"""Our cohort analysis shows engagement dropping after 3 weeks. What's the typical fix for that?"""
cvh_191,"""We're getting killed by bots creating fake accounts. How do I stop this without hurting real users?"""
cvh_192,"""Should our app require email verification or is that too much friction?"""
cvh_193,"""My investor wants me to hire a COO but I think it's too early. At what stage do you actually need a COO?"""
cvh_194,"""We're doing customer development calls but I feel like people just tell us what we want to hear. How do I get real feedback?"""
cvh_195,"""Should we have a status page? We've only had like 2 outages ever."""
cvh_196,"""Our marketing site and product have completely different designs. Should we unify them?"""
cvh_197,"""I keep seeing competitors raise huge rounds for products that seem worse than ours. What am I missing?"""
cvh_198,"""Should we gate features by plan or give everyone everything and charge by usage?"""
cvh_199,"""We're getting European customers but we're US-based. Do I need to set up a European entity?"""
cvh_200,"""My cofounder wants to sell to enterprises but I want to focus on SMB. How do we decide?"""
cvh_201,"""Our landing page has a 60% bounce rate. Is that terrible or normal?"""
cvh_202,"""Should I hire a recruiter or do all hiring myself? We need to hire 10 people this year."""
cvh_203,"""We're building AI features but honestly they're not that impressive. Should I play them up anyway?"""
cvh_204,"""My best friend wants to join the company but they're not qualified. How do I say no without ruining the friendship?"""
cvh_205,"""Should we have a company handbook or is that overkill for 8 people?"""
cvh_206,"""Our biggest growth channel is Reddit but we keep getting flagged as spam. How do I market there without being annoying?"""
cvh_207,"""We're getting requests for white-label solutions. Is that a good business or a distraction?"""
cvh_208,"""Should I care about company culture at 5 people or is that something for later?"""
cvh_209,"""Our Terms of Service say arbitration only but a customer is threatening to sue anyway. What do I do?"""
cvh_210,"""My cofounder keeps changing their mind about the product direction. How do I get them to commit?"""
cvh_211,"""Should we celebrate hitting $10K MRR publicly or is that going to look small?"""
cvh_212,"""We're B2B but getting interest from consumers. Should we pursue both markets?"""
cvh_213,"""Our investor deck is 25 slides. Is that too long or does it depend?"""
cvh_214,"""Should I share our revenue numbers publicly? I see some founders doing it but seems risky."""
cvh_215,"""We're getting compared to a competitor constantly but we're building something different. How do I differentiate?"""
cvh_216,"""My team wants equity refreshes after 1 year. Is that normal or are they being entitled?"""
cvh_217,"""Should we have a discord community or is that just more work?"""
cvh_218,"""Our biggest expense is office rent but nobody comes in. Should I break the lease?"""
cvh_219,"""We're building a marketplace but have a chicken-and-egg problem. Which side do I focus on first?"""
cvh_220,"""My cofounder's work quality has dropped significantly. Do I confront them or is something else going on?"""
cvh_221,"""Should we use testimonials from small customers or wait until we have bigger brands?"""
cvh_222,"""We're getting tons of feature requests but our roadmap is already packed. How do I prioritize?"""
cvh_223,"""My developer says we need to refactor everything before adding features. Is that legitimate or just procrastinating?"""
cvh_224,"""Should our product have a free tier that's actually useful or just a trial?"""
cvh_225,"""We're trying to close our first enterprise deal and they want a security audit. How much does that cost?"""
cvh_226,"""My competitor's founder keeps DMing me about merging companies. Is that a serious offer or just fishing for info?"""
cvh_227,"""Should we track everything in Notion or use proper project management software?"""
cvh_228,"""Our user testing shows people love the product but nobody's buying. What gives?"""
cvh_229,"""Should I fire our first employee? They've been here since day one but aren't growing with us."""
cvh_230,"""We're getting requests for phone support but that seems impossible to scale. How do other SaaS companies handle this?"""
cvh_231,"""My advisor says our TAM is too small but customers keep buying. Should I listen to them or the market?"""
cvh_232,"""Should we optimize our site for desktop or mobile first? Traffic is 60/40 desktop."""
cvh_233,"""We're considering offering payment plans. Does that help conversion or just delay payments?"""
cvh_234,"""Our best engineer wants to work on AI features but we need them on core product. What takes priority?"""
cvh_235,"""Should I take that corporate consulting gig to extend runway? It's 20 hours a week."""
cvh_236,"""We're getting invited to pitch competitions. Are those actually useful or just a time suck?"""
cvh_237,"""My cofounder wants 50/50 equity but I had the idea and started building before they joined. Is that fair?"""
cvh_238,"""Should we use microservices or a monolith? Our CTO and I disagree."""
cvh_239,"""We're getting copycats in international markets. Is it worth fighting or should I just focus on the US?"""
cvh_240,"""Should our app have push notifications? Seems like everyone hates those."""
cvh_241,"""We're trying to decide between AWS, GCP, and Azure. Does it actually matter which one?"""
cvh_242,"""My cofounder's spouse is very involved in company decisions. Is that normal or a red flag?"""
cvh_243,"""Should we offer customer success managers to all customers or just enterprise?"""
cvh_244,"""We're getting great feedback but slow growth. Is that just the SaaS ramp or a problem?"""
cvh_245,"""My competitor is badmouthing us to customers. Do I respond or take the high road?"""
cvh_246,"""Should our product be customizable or opinionated? We keep going back and forth."""
cvh_247,"""We're spending $5K/month on tools and software. Is that normal for a 10-person startup?"""
cvh_248,"""My team wants standing desks and fancy equipment. Do I invest in that or tell them to deal with it?"""
cvh_249,"""Should we use HubSpot or Salesforce? HubSpot is easier but Salesforce seems more 'enterprise.'"""
cvh_250,"""Our product demo is 45 minutes long. Is that too long or is detailed good?"""
cvh_251,"""We're getting interest from a strategic investor who's also a potential acquirer. Should I be careful?"""
cvh_252,"""My cofounder wants to spend $50K on a conference booth. That seems insane. Is it?"""
cvh_253,"""Should we dogfood our own product or use best-in-class tools? Our product is janky right now."""
cvh_254,"""We're trying to decide on a growth model: virality vs paid vs content. Can you just do all three?"""
cvh_255,"""My early customers want features that new customers don't care about. Who do I build for?"""
cvh_256,"""Should our cancellation flow ask why they're leaving or just let them go quietly?"""
cvh_257,"""We're considering adding crypto payments. Is that useful or just trendy?"""
cvh_258,"""My investor wants board seats but we're just a seed stage. Is that normal?"""
cvh_259,"""Should we invest in SEO or is that too slow for a startup?"""
cvh_260,"""We're getting requests for a dark mode but that's like 3 weeks of work. Is it worth it?"""
cvh_261,"""My cofounder keeps working on side projects during work hours. How do I address that?"""
cvh_262,"""Should we have a clear ICP or try to serve multiple segments? We're getting mixed advice."""
cvh_263,"""We're doing user interviews but nobody wants to pay for the solution. Is that a validation problem?"""
cvh_264,"""My advisor wants 5% equity for introductions to investors. That seems high?"""
cvh_265,"""Should our product be workflow-based or feature-based? Not sure what that even means."""
cvh_266,"""We're getting interest from VCs but our numbers are still small. Should I wait or fundraise now?"""
cvh_267,"""My biggest customer wants a custom feature that nobody else will use. Do I build it?"""
cvh_268,"""Should we gate content behind Medium paywall or keep our blog open? Trying to monetize it."""
cvh_269,"""We're considering a rebrand after 6 months. Is that too early or does it not matter?"""
cvh_270,"""My cofounder wants to move to a 4-day workweek. Can an early-stage startup survive doing that?"""
cvh_271,"""Should we focus on improving our worst features or making our best features even better?"""
cvh_272,"""We're getting DMCA takedown requests for user-generated content. How do I handle this legally?"""
cvh_273,"""My team wants more autonomy but every time I delegate something gets messed up. What's the balance?"""
cvh_274,"""Should we have an affiliate program? Seems like everyone does but is it worth the effort?"""
cvh_275,"""We're trying to go viral on TikTok but our product is boring B2B software. Is that even possible?"""
cvh_276,"""My cofounder wants to relocate the company for tax reasons. Is that worth the hassle?"""
cvh_277,"""Should we patent our process or keep it as trade secret?"""
cvh_278,"""We're getting reviews saying our product is too complex. Do I simplify or find different customers?"""
cvh_279,"""My investor wants me to network more but I hate networking. Is it actually necessary?"""
cvh_280,"""Should we write case studies or white papers? Not sure what B2B buyers actually read."""
cvh_281,"""We're getting outbound interest from recruiters trying to poach our team. How do I retain people on a startup budget?"""
cvh_282,"""My cofounder wants to hire their ex-colleague who I don't think is good. How do I veto without causing conflict?"""
cvh_283,"""Should we have a customer advisory board? Seems like big companies do this."""
cvh_284,"""We're spending 30% of time on compliance and security. Is that normal for B2B SaaS?"""
cvh_285,"""My biggest competitor just shut down. Should I try to acquire their customers?"""
cvh_286,"""Should our app support offline mode? That's like 2 months of work."""
cvh_287,"""We're getting ghosted by investors after first meetings. Is that normal or is our pitch bad?"""
cvh_288,"""My team wants to switch from Slack to Discord. Does it actually matter?"""
cvh_289,"""Should we offer equity to early employees or just higher salaries?"""
cvh_290,"""We're getting customers from a country we've never marketed to. Should I localize?"""
cvh_291,"""My cofounder wants to write a book about our journey. Is that a distraction or good marketing?"""
cvh_292,"""Should we have a podcast? Everyone seems to have one now."""
cvh_293,"""We're getting feature parity with competitors but not growing faster. What else matters?"""
cvh_294,"""My customer success team wants to upsell customers but that feels pushy. Is that normal?"""
cvh_295,"""Should we build a Chrome extension or is that a distraction from the main product?"""
cvh_296,"""We're trying to do account-based marketing but only have 1 marketer. Is that realistic?"""
cvh_297,"""My cofounder wants to speak at every conference invitation. Is that helping us or just feeding their ego?"""
cvh_298,"""Should we use animated explainer video or just screenshots? Video is $15K."""
cvh_299,"""We're getting criticized for not having enough features but I thought MVP was the goal?"""
cvh_300,"""My team wants to attend expensive conferences. How do I decide which ones are worth it?"""
cvh_301,"""Should we optimize for ARR or logo count? Investors seem to care about both."""
cvh_302,"""We're doing cold outreach with 5% response rate. Is that good or terrible?"""
cvh_303,"""My cofounder's equity vesting is about to cliff and they're checked out. What do I do?"""
cvh_304,"""Should we have a developer evangelist at 20 people? Seems early."""
cvh_305,"""We're getting requests for invoice payment but we're credit card only. Should I add it?"""
cvh_306,"""My best customer wants a huge discount for a 3-year commitment. Should I take it?"""
cvh_307,"""Should we rebrand from a playful to serious brand as we go upmarket?"""
cvh_308,"""We're trying to build a sales team but can't afford enterprise AEs. Can junior reps close SMB deals?"""
cvh_309,"""My investor keeps introducing me to their portfolio companies for partnerships. Are these actually useful?"""
